stock_code,stock_name,asset_type,country,currency,tags,candidates,matched_symbol,status,n_rows,first_date,last_date,probe_period,probe_interval,heuristic,reason,manual_hint
0089C0,KODEX 미국S&P500변동성확대시커버드콜,주식,US,USD,#슬리브_옵션_인컴 #슬리브_전략_커버드콜 #슬리브_전략_인컴 #슬리브_전략_변동성민감 #팩터_경기 #팩터_변동성 #팩터_통화 #미국주식 #커버드콜 #인컴 #변동성,0089C0.KS,0089C0.KS,OK,61,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
182480,TIGER 미국MSCI리츠(합성 H),주식,US,KRW,#슬리브_섹터_리츠_부동산 #팩터_금리 #팩터_물가 #미국주식 #섹터 #리츠,182480.KS,182480.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
200030,KODEX 미국S&P500산업재(합성),주식,US,USD,#슬리브_섹터_산업재 #팩터_경기 #팩터_통화 #미국주식 #섹터 #산업재,200030.KS,200030.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
218420,KODEX 미국S&P500에너지(합성),주식,US,USD,#슬리브_섹터_에너지 #팩터_경기 #팩터_물가 #팩터_통화 #미국주식 #섹터 #에너지,218420.KS,218420.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
241180,TIGER 일본니케이225,주식,JP,JPY,#슬리브_코어_글로벌 #슬리브_지역_일본 #팩터_경기 #팩터_통화 #해외주식 #일본,241180.KS,241180.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
245350,TIGER 유로스탁스배당30,주식,EU,EUR,#슬리브_코어_글로벌 #슬리브_지역_유럽 #슬리브_전략_배당성장 #팩터_경기 #팩터_통화 #해외주식 #유럽 #배당 #인컴,245350.KS,245350.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
280930,KODEX 미국러셀2000(H),주식,US,KRW,#슬리브_코어_미국 #슬리브_사이즈_소형 #팩터_경기 #팩터_금리 #미국주식 #러셀2000 #소형주,280930.KS,280930.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
283580,KODEX 차이나CSI300,주식,CN,CNY,#슬리브_코어_글로벌 #슬리브_지역_중국 #팩터_경기 #팩터_통화 #해외주식 #중국,283580.KS,283580.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
294400,KIWOOM 200TR,주식,KR,KRW,#슬리브_코어_국내 #팩터_경기 #국내주식 #코스피200 #지수추종,294400.KS,294400.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
352560,KODEX 미국부동산리츠(H),주식,US,KRW,#슬리브_섹터_리츠_부동산 #슬리브_전략_인컴 #팩터_금리 #팩터_물가 #미국주식 #섹터 #리츠 #인컴,352560.KS,352560.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
360200,ACE 미국S&P500,주식,US,USD,#슬리브_코어_미국 #슬리브_사이즈_대형 #팩터_경기 #팩터_통화 #미국주식 #S&P500 #지수추종,360200.KS,360200.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
360750,TIGER 미국S&P500,주식,US,USD,#슬리브_코어_미국 #슬리브_사이즈_대형 #팩터_경기 #팩터_통화 #미국주식 #S&P500 #지수추종,360750.KS,360750.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
367380,ACE 미국나스닥100,주식,US,USD,#슬리브_성장_미국 #슬리브_사이즈_대형 #팩터_경기 #팩터_금리 #팩터_통화 #미국주식 #나스닥100 #성장,367380.KS,367380.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
379790,RISE 유로스탁스50(H),주식,EU,KRW,#슬리브_코어_글로벌 #슬리브_지역_유럽 #팩터_경기 #해외주식 #유럽 #지수추종,379790.KS,379790.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
446720,SOL 미국배당다우존스,주식,US,USD,#슬리브_전략_배당성장 #팩터_경기 #팩터_통화 #미국주식 #배당성장 #인컴,446720.KS,446720.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
448300,TIGER 미국나스닥100(H),주식,US,KRW,#슬리브_성장_미국 #슬리브_사이즈_대형 #팩터_경기 #팩터_금리 #미국주식 #나스닥100 #성장,448300.KS,448300.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
449180,KODEX 미국S&P500(H),주식,US,KRW,#슬리브_코어_미국 #슬리브_사이즈_대형 #팩터_경기 #미국주식 #S&P500 #지수추종,449180.KS,449180.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
453630,KODEX 미국S&P500필수소비재,주식,US,USD,#슬리브_섹터_필수소비재 #팩터_경기 #팩터_통화 #미국주식 #섹터 #필수소비재 #방어,453630.KS,453630.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
453640,KODEX 미국S&P500헬스케어,주식,US,USD,#슬리브_섹터_헬스케어 #팩터_경기 #팩터_통화 #미국주식 #섹터 #헬스케어 #방어,453640.KS,453640.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
453650,KODEX 미국S&P500금융,주식,US,USD,#슬리브_섹터_금융 #팩터_경기 #팩터_금리 #팩터_통화 #미국주식 #섹터 #금융,453650.KS,453650.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
453660,KODEX 미국S&P500경기소비재,주식,US,USD,#슬리브_섹터_경기소비재 #팩터_경기 #팩터_금리 #팩터_통화 #미국주식 #섹터 #경기소비재,453660.KS,453660.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
453810,KODEX 인도Nifty50,주식,IN,INR,#슬리브_코어_글로벌 #슬리브_지역_인도 #팩터_경기 #팩터_통화 #해외주식 #인도 #성장,453810.KS,453810.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
463640,KODEX 미국S&P500유틸리티,주식,US,USD,#슬리브_섹터_유틸리티 #팩터_경기 #팩터_금리 #팩터_통화 #미국주식 #섹터 #유틸리티 #방어,463640.KS,463640.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
463680,KODEX 미국S&P500테크놀로지,주식,US,USD,#슬리브_섹터_테크 #팩터_경기 #팩터_금리 #팩터_통화 #미국주식 #섹터 #테크 #성장,463680.KS,463680.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
463690,KODEX 미국S&P500통신서비스,주식,US,USD,#슬리브_섹터_통신서비스 #팩터_경기 #팩터_금리 #팩터_통화 #미국주식 #섹터 #통신서비스,463690.KS,463690.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
0046A0,TIGER 미국초단기(3개월이하)국채,채권,US,USD,#슬리브_금리_단기 #팩터_금리 #팩터_통화 #미국국채 #초단기금리 #현금대용,0046A0.KS,0046A0.KS,OK,61,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
308620,KODEX 미국10년국채선물,채권,US,USD,#슬리브_금리_중장기_10년 #팩터_금리 #팩터_통화 #미국국채 #장기금리 #방어,308620.KS,308620.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
365780,ACE 국고채10년,채권,KR,KRW,#슬리브_금리_중장기_10년 #팩터_금리 #국채 #장기금리 #방어,365780.KS,365780.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
385560,RISE KIS국고채30년Enhanced,채권,KR,KRW,#슬리브_금리_초장기_30년 #팩터_금리 #국채 #초장기금리 #방어,385560.KS,385560.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
468380,KODEX iShares미국하이일드액티브,채권,US,USD,#슬리브_크레딧_하이일드_HY #슬리브_전략_인컴 #팩터_경기 #팩터_금리 #팩터_통화 #미국회사채 #하이일드 #크레딧스프레드 #인컴,468380.KS,468380.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
473330,SOL 미국30년국채커버드콜(합성),채권,US,USD,#슬리브_옵션_인컴 #슬리브_금리_초장기_30년 #슬리브_전략_커버드콜 #슬리브_전략_인컴 #팩터_금리 #팩터_변동성 #팩터_통화 #미국국채 #초장기금리 #커버드콜 #인컴,473330.KS,473330.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
476750,ACE 미국30년국채엔화노출액티브(H),채권,US,JPY,#슬리브_금리_초장기_30년 #팩터_금리 #팩터_통화 #미국국채 #초장기금리 #방어,476750.KS,476750.KS,OK,61,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
138910,TIGER 유로선물,현금성자산,EU,EUR,#슬리브_통화_유로 #팩터_통화 #팩터_변동성 #통화 #유로화 #현금,138910.KS,138910.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
292560,TIGER 일본엔선물,현금성자산,JP,JPY,#슬리브_통화_엔화 #팩터_통화 #팩터_변동성 #통화 #엔화 #현금,292560.KS,292560.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
449170,TIGER KOFR금리액티브(합성),현금성자산,KR,KRW,#슬리브_금리_단기 #팩터_금리 #파킹ETF #단기금리 #현금,449170.KS,449170.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
456880,ACE 미국달러SOFR금리(합성),현금성자산,US,USD,#슬리브_금리_단기 #팩터_금리 #팩터_통화 #달러파킹 #SOFR #단기금리 #현금,456880.KS,456880.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
CASH,예수금,현금성자산,KR,KRW,#슬리브_예수금 #팩터_금리 #팩터_변동성 #현금 #유동성,,,SKIP,0,,,3mo,1d,skip:cash,cash,현금은 심볼 불필요
