stock_code,stock_name,asset_type,country,currency,tags,candidates,matched_symbol,status,n_rows,first_date,last_date,probe_period,probe_interval,heuristic,reason,manual_hint
500045,신한 S&P500 VIX S/T 선물 ETN C,대체투자,US,USD,#슬리브_전술_변동성 #팩터_변동성 #팩터_통화 #VIX #변동성 #전술,500045.KS,,FAIL,0,,,3mo,1d,prefer:yf_symbol,empty,Yahoo Finance에서 '신한 S&P500 VIX S/T 선물 ETN C' 또는 KRX 6자리 코드로 검색 후 .KS/.KQ 확정
500046,신한 인버스 S&P500 VIX S/T 선물 ETN C,대체투자,US,USD,#슬리브_전술_변동성 #팩터_변동성 #팩터_통화 #VIX #변동성 #인버스 #전술,500046.KS,,FAIL,0,,,3mo,1d,prefer:yf_symbol,empty,Yahoo Finance에서 '신한 인버스 S&P500 VIX S/T 선물 ETN C' 또는 KRX 6자리 코드로 검색 후 .KS/.KQ 확정
476090,TIGER 미국S&P500+10%프리미엄초단기,주식,US,USD,#슬리브_옵션_인컴 #슬리브_전략_커버드콜 #슬리브_전략_인컴 #팩터_경기 #팩터_변동성 #팩터_통화 #미국주식 #커버드콜 #인컴,476090.KS,,FAIL,0,,,3mo,1d,prefer:yf_symbol,empty,Yahoo Finance에서 'TIGER 미국S&P500+10%프리미엄초단기' 또는 KRX 6자리 코드로 검색 후 .KS/.KQ 확정
471950,TIGER 미국투자등급회사채액티브(H),채권,US,KRW,#슬리브_크레딧_투자등급_IG #슬리브_전략_인컴 #팩터_경기 #팩터_금리 #미국회사채 #투자등급 #크레딧스프레드 #인컴,471950.KS,,FAIL,0,,,3mo,1d,prefer:yf_symbol,empty,Yahoo Finance에서 'TIGER 미국투자등급회사채액티브(H)' 또는 KRX 6자리 코드로 검색 후 .KS/.KQ 확정
Q530130,삼성 S&P500 VIX S/T 선물 ETN B,대체투자,US,USD,#슬리브_전술_변동성 #팩터_변동성 #팩터_통화 #VIX #변동성 #전술,530130.KS,530130.KS,THIN,1,2026-01-08,2026-01-08,3mo,1d,prefer:yf_symbol,ok,데이터는 있으나 표본 부족 → 기간 확대/다른 소스 고려
500078,신한 S&P 유로 선물 ETN(H),현금성자산,EU,EUR,#슬리브_통화_유로 #팩터_통화 #팩터_변동성 #통화 #유로화 #현금,500078.KS,500078.KS,THIN,1,2026-01-08,2026-01-08,3mo,1d,prefer:yf_symbol,ok,데이터는 있으나 표본 부족 → 기간 확대/다른 소스 고려
261260,KODEX 미국달러선물인버스2X,대체투자,US,KRW,#슬리브_전술_통화 #팩터_통화 #팩터_변동성 #통화 #달러 #인버스2X #전술,261260.KS,261260.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
271050,KODEX WTI원유선물인버스(H),대체투자,US,KRW,#슬리브_전술_원자재 #팩터_물가 #팩터_변동성 #원유 #원자재 #인버스 #전술,271050.KS,271050.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
411060,ACE KRX금현물,대체투자,KR,KRW,#슬리브_대체_금 #팩터_물가 #팩터_변동성 #금 #원자재 #방어,411060.KS,411060.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
0005D0,SOL 전고체배터리&실리콘음극재,주식,KR,KRW,#슬리브_테마_국내 #팩터_경기 #팩터_금리 #국내주식 #2차전지 #테마 #성장,0005D0.KS,0005D0.KS,OK,62,2025-10-10,2026-01-08,3mo,1d,prefer:yf_symbol,ok,
